"recno","Observer","Location","Desg","Month","Day","Year","m1","diam","dc","pa","scope","comments","jd","url"
"2593","P. Clay Sherrod","","c2011 UF305  LINEAR","04","10","2013","18.4","8""","7/9","n/a","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Comet is very thin and vague; stellar central conds; very faint without cometary form","2456392.5000",""
"2597","P. Clay Sherrod","","c2012 X1  LINEAR","04","12","2013","17.5","9""","7/9","129 d","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Comet appears almost stationary with no proper motion; some diffuse scatter from very compact nucleus to south, PA 129 deg and very short","2456394.5000",""
"2598","P. Clay Sherrod","","c2012 S1 ISON","04","13","2013","16.0","11""","6/9","92 d","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Clearly a couple of minor changes; the comet is somewhat dimmer than previous night and the tail is now more open and flared, but still in PA 92 deg, 24"" length; suspect streamers at 60 adn 131 deg","2456395.5000",""
"2599","P. Clay Sherrod","","c2013 B2  Catalina","04","13","2013","19.0","<5""","9/9","n/a","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Comet is stellar, no nebulosity and brighter than predictions","2456395.5000",""
"2602","P. Clay Sherrod","","c2010 R1  LINEAR","04","14","2013","17.9","7""","4/9","93","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Very poor conditions with high clouds; comet is diffuse with vague central conds.; some elongation to east","2456396.5000",""
"2603","P. Clay Sherrod","","273P  Pons-Gambart","04","14","2013","15.4 m2","40""+","7/9","104+194","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Very poor conditions with high clouds, but comet is still nothing short of spectacular with two conspicuous jets in PA 104 and 194; former is 193"" length.  Very strong and stellar nucleus with considerable outer nebulosity","2456396.5000",""
"2605","P. Clay Sherrod","","c2011 R1  McNaught","04","14","2013","14.8 m2","55""","6/9","174 d","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Simply spectacular with long and straight south-directed tail; very strong nucleus with surrounding coma; tail PA=174 deg; 580+ sec. length","2456396.5000",""
"2606","P. Clay Sherrod","","c2006 S3 (LONEOS)","04","14","2013","15.6 m2","14""","6/9","79 d","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Very poor conditions with incoming clouds; short tail in PA 79 deg; somewhat diffuse nucleus; much detail obscured from clouds","2456396.5000",""
"2608","P. Clay Sherrod","","c2011 J2  LINEAR","04","15","2013","15.2 m2","20""","6/9","146 d","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Tail length 191"" in PA 146 deg; some moonlight, but tail is very vivid; compact and dense coma","2456397.5000",""
"2614","P. Clay Sherrod","","c2010 R1  LINEAR","04","20","2013","17.9","6""","4/9","61-122","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Some moonlight to west; comet appears small and nebulous with short eastward tail, fanning wide 19"" at longest extent","2456402.5000",""
"2617","P. Clay Sherrod","","c2011 R1  McNaught","04","20","2013","15.2 m2","43""","7/9","174 d","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Absolutely spectacular, with very long and widening south facing tail filling the CCD field; nucleus is strong with outer nebulosity; tail extends at least 6 arc minutes in PA 174","2456402.5000",""
"2620","P. Clay Sherrod","","c2013 G6  Lemmon","04","20","2013","18.5 m2","6""","4/9","round","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","New comet; small and round, nebulous without tail nor central condensation","2456402.5000",""
"2625","P. Clay Sherrod","","c2011 J2  LINEAR","04","29","2013","15.5","20""","5/9","144 d","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Bright moon in east; comet is very nice, with strong tail in PA 144 deg for 166+ "". Coma is offset from nucleus toward NE, very odd","2456411.5000",""
"2632","P. Clay Sherrod","","c2011 R1  McNaught","05","06","2013","15.9 m2","12""","5/9","171","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Clouds moving in, but broad tail still seen southward from coma","2456418.5000",""
"2634","P. Clay Sherrod","","c2011 R1  McNaught","05","07","2013","15.2 m2","36""+","7/9","171 d","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Long expansive tail in PA 171 deg, 600"" plus in length; strong nucleus and very large outer coma","2456419.5000",""
"2635","P. Clay Sherrod","","c/2013  H1  LaSagra","05","07","2013","17.9","9""","3/9","301","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Comet far from predicted position to NE; shows faint stubby tail in PA 301 deg; comet is open, very diffuse and no central nucleus; quite irregular","2456419.5000",""
"2636","P. Clay Sherrod","","c2006 S3 (LONEOS)","05","07","2013","14.5 m2","27""","7/9","89 d","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Comet very low in SW sky and conditions not favorable;  very strong nucleus, starlike with spike tail in PA 89 deg, nearly linear for 39"" length","2456419.5000",""
"2637","P. Clay Sherrod","","c2013 G7  McNaught","05","07","2013","17.9","8""","3/9","irreg","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","New Comet; very irregular without symmetry; no strong nucleus, no tail","2456419.5000",""
"2638","P. Clay Sherrod","","c2012 K1 PANSTARRS","05","07","2013","15.6","14""","6/9","163 d","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Very large and not starlike nucleus; dense and extended with short tail in PA 163 deg, about 14"" length and truncated.  Unusual appearance","2456419.5000",""
"2640","P. Clay Sherrod","","c2011 R1  McNaught","05","14","2013","16.1 m2","26""","8/9","171 d","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Absolutely beautiful with long streaming tail nearly due south; very scintillating stellar nucleus dominates wide outer and faint coma; very long tail streamer in PA 171 deg for 500+ ""; secondary streaming tails at 145 and 194 deg.","2456426.5000",""
"2642","P. Clay Sherrod","","c2013 G6  Lemmon","05","14","2013","17.2","10""","4/9","57 d","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Comet moving rapidly west; conditions unsteady.  Very irregular and outer coma is anything but uniform; possible tail or extension to NE","2456426.5000",""
"2643","P. Clay Sherrod","","c2012 K1 PANSTARRS","05","14","2013","15.4","15""","6/9","150","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Possible short extension in PA 150 deg; appears truncated and vague; very dense coma and quite close to faint field star making coma evaluations difficult","2456426.5000",""
"2644","P. Clay Sherrod","","c2011 L4  PANSTARRS","05","14","2013","9.5 m2","185""(*)","6/9","99 +306 d","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","First physical measurements; comet spectacular in narrow field, strong nucleus is huge (*) with outer faint coma and inner nuclear strong condensation  77"" + 185""; two tails in PA 99 + 306 deg","2456426.5000",""
"2645","P. Clay Sherrod","","c2011 L4  PANSTARRS","05","28","2013","10.3","187""","6/9","47 + 222 d","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Opposing tails in 47 and 222 deg; very thin jet-like tail in 47 deg","2456440.5000",""
"2646","P. Clay Sherrod","","c2012 K1 PANSTARRS","06","03","2013","15.4","19""","6/9","139 d","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Very short, stubby tail (25"" length) in PA 139; large oval shaped coma, uniformly dense","2456446.5000",""
"2648","P. Clay Sherrod","","c/2013  H1  LaSagra","06","08","2013","17.7","10""","3/9","irreg","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Diffuse, round with no central conds. nor tail","2456451.5000",""
"2649","P. Clay Sherrod","","c2012 K1 PANSTARRS","06","08","2013","15.0","19""","6/9","131","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Truncated tail in PA 131 deg, 22"" length; very compressed and dense coma with sharp periphery","2456451.5000",""
"2650","P. Clay Sherrod","","c2013 F3  McNaught","06","08","2013","19.2 m2","9""","3/9","irreg","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","New comet.  Very diffuse and in rich star field; centroid difficult; irreg. and no tail","2456451.5000",""
"2652","P. Clay Sherrod","","c2013 L2  Catalina","06","09","2013","19.2","5""","4/9","n/a","0.5m ASO Astrographic telescope + CCD binned 2x2","New comet; quite faint and diffuse; no tail and very vague central conds;","2456452.5000",""
"2653","P. Clay Sherrod","","c2011 L4  PANSTARRS","06","11","2013","11.2 m2","108+""","6/9","n/a","0.5m ASO Astrographic telescope + CCD binned 2x2","Ion tail is considerable fainter and fading fast; nucleus is quite pronounced while coma is decreasing in density and size","2456454.5000",""
"2655","P. Clay Sherrod","","c2012 K1 PANSTARRS","06","11","2013","15.0","20""","6/9","138","0.5m ASO Astrographic telescope + CCD binned 2x2","Very short truncated tail continues in PA 138 deg, only 23"" length; coma is very dense and uniform with no outer nebulosity","2456454.5000",""
"2656","P. Clay Sherrod","","c2013 L2  Catalina","06","11","2013","19.2","5""","4/9","n/a","0.5m ASO Astrographic telescope + CCD binned 2x2","Comet shows only trace of nebulosity, otherwise stellar","2456454.5000",""
"2657","P. Clay Sherrod","","c2013 F3  McNaught","06","11","2013","18.2 m2","6""","3/9","round","0.5m ASO Astrographic telescope + CCD binned 2x2","A clearly nebulous circular object in rich star field, moving rapidly NW; very fine round object and quite uniform and transparent","2456454.5000",""
"2660","P. Clay Sherrod","","c2006 S3 (LONEOS)","06","12","2013","14.8","29""","7/9","97","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Conspicuous in star poor field; very large with nebulous coma;  nucleus is elliptical E-W and nice narrow tail in PA 97 deg, 74"" length","2456455.5000",""
"2661","P. Clay Sherrod","","c2011 R1  McNaught","06","12","2013","17.3 m2","21""","8/9","160 d","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Very thin transparent tail in PA 160 deg, 232"" length; beautiful comet with veiled and thin coma surrounding stellar nucleus","2456455.5000",""
"2664","P. Clay Sherrod","","c2011 L4  PANSTARRS","06","12","2013","11.1 m2","228""+","5/9","133+350d","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Two tails continue; ion tail in PA 350 deg, getting weaker; dust tail in PA 133 deg; huge coma is growing and becoming more dense","2456455.5000","Com194B41F1.jpg"
"2666","P. Clay Sherrod","","29P Schwassmann-Wachmann","06","14","2013","12.6","15""","5/9","round","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Comet continues to increase in brightness; no nebulosity seen in stack 60sec exp.; coma is sharp and round","2456457.5000",""
"2667","P. Clay Sherrod","","c/2013  H1  LaSagra","06","14","2013","18.4","9""","3/9","n/a","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Comet is open and diffuse, no tail and slight indication of nucleus","2456457.5000",""
"2671","P. Clay Sherrod","","c2011 R1  McNaught","06","15","2013","17.4","18""","8/9","163 d","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Spectacular sight with tiny stellar nucleus in ghost-like transparent coma and equal density long veiled tail, 510"" length in PA 163deg","2456458.5000",""
"2676","P. Clay Sherrod","","29P Schwassmann-Wachmann","06","21","2013","14.6 m2","15""","2/9","n/a*","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Comet quite close to nearly full moon and in far south skies; diffuse round (105"") cloud to *SW of very diffuse coma; does not appear at all from previous week","2456464.5000",""
"2677","P. Clay Sherrod","","29P Schwassmann-Wachmann","06","25","2013","14.9 m2","28""x40""","3/9","irreg","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Remarkable transformation and new activity with this comet; several elongations from central higly irreg. core/ coma is flattened on N side, rounded elsewhere; extensions from coma E-W reach 40""","2456468.5000",""
"2678","P. Clay Sherrod","","c2011 L4  PANSTARRS","06","25","2013","12.5 m2","58""","6/9","111 d","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Strong moonlight; dust tail in PA 111 deg; coma slightly elongated","2456468.5000",""
"2679","P. Clay Sherrod","","c2012 K1 PANSTARRS","06","25","2013","13.9 m2","15""","6/9","see*","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Strong moonlight; very interesting inner coma showing irregular and erratic structure; *projections from nucleus make overall coma ""arrowhead shaped"", with extensions in PA 47 and149 deg","2456468.5000",""
"2681","P. Clay Sherrod","","c/2013  H1  LaSagra","06","27","2013","18.7","~6""","4/.9","irreg","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Very small, diffuse and irregular","2456470.5000",""
"2682","P. Clay Sherrod","","c2012 K1 PANSTARRS","06","27","2013","15.2 m2","18""","6/9","127 d","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Short stubby tail in PA 127 deg, 21"" length; coma is irregular and very dense","2456470.5000",""
"2683","P. Clay Sherrod","","c2013 F3  McNaught","06","29","2013","18.6 m2","~7""","6/9","164 d","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Very unsteady air; very thin tail @ PA 164 deg, 14"" length; comet is diffuse and in very dense star field","2456472.5000",""
"2686","P. Clay Sherrod","","c2013 G8  PANSTARRS","06","29","2013","19.5 m2","4""","4/9","n/a","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Very small and quite faint, at limit of visibility, indistinct; nowhere near recent estimates and east of predicted position","2456472.5000",""
"2687","P. Clay Sherrod","","29P Schwassmann-Wachmann","06","30","2013","15.5 m2","87x60""","6/9","irreg.","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Remarkable ""angel shape"" winged coma, 87"" wide tip to tip; strong central conds. toward north of coma","2456473.5000",""
"2689","P. Clay Sherrod","","c2012 K1 PANSTARRS","06","30","2013","15.6","21""","0","126 d","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Tail 36"" length in PA 126 deg; coma continues highly condensed, tadpole shape","2456473.5000",""
"2690","P. Clay Sherrod","","c2011 L4  PANSTARRS","07","02","2013","13.1 m2","67""","6/9","348+96 d","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Gas tail in PA 348 deg, ~45' length; dust tail in PA 96 deg; wide and scattered to east","2456475.5000",""
"2691","P. Clay Sherrod","","98P Takamizawa","07","02","2013","16.7","13""","7/9","124 d","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","First observations; comet has been far dimmer than predicted.  Possible short tail in PA 124 deg; coma is diffuse around perimeter otherwise dense and uniform","2456475.5000",""
"2692","P. Clay Sherrod","","c2012 K1 PANSTARRS","07","02","2013","15.5","19""","5/9","127 d","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Short, stumpy tail in PA 127 deg,, 25"" length; coma is very dense and uniform, truncated at origin of tail","2456475.5000",""
"2693","P. Clay Sherrod","","c2013 F3  McNaught","07","02","2013","18.6","6""","7/9","irreg","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Almost starlike, but  slight nebulosity","2456475.5000",""
"2695","P. Clay Sherrod","","98P Takamizawa","07","03","2013","17.1","8""","4/0","133","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Short tail or elongation in PA 133 deg, only a few arc sec. length; coma-nucleus is diffuse but nearly starlike and tiny","2456476.5000",""
"2696","P. Clay Sherrod","","c2013 F3  McNaught","07","03","2013","18.8","5""","4/9","round","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Comet fading; very small and difficult, almost starlike","2456476.5000",""
"2697","P. Clay Sherrod","","c2013 L2  Catalina","07","03","2013","19.3","7""","3/9","irreg","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","New comet, very difficult.  Diffuse and difficult to centroid.","2456476.5000",""
"2698","P. Clay Sherrod","","c2011 L4  PANSTARRS","07","05","2013","13.1 m2","0","6/9","0","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Comet virtually unchanged morphologically and in terms of brightness","2456478.5000",""
"2699","P. Clay Sherrod","","c2012 K1 PANSTARRS","07","05","2013","15.5 m2","21""","5/9","128 d","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Short truncated tail in PA  128 deg, 31"" length   ; coma is very dense and uniform with sharp perimeter and no outer nebulosity","2456478.5000",""
"2700","P. Clay Sherrod","","c2013 F3  McNaught","07","05","2013","18.8","6""","7/9","round","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Comet clearly nebulous against rich star field, but very small and faint","2456478.5000",""
"2701","P. Clay Sherrod","","c2013 L2  Catalina","07","05","2013","19.4","<5""","8/9","stellar","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Quite stellar; small with no nebulosity noted","2456478.5000",""
"2703","P. Clay Sherrod","","c2010 S1 (LINEAR)","07","05","2013","13.7 m2","32""","6/9","32 d","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","tapering tail in PA 32 deg, 145"" length, fades rapidly; very dense coma with wide outer perimeter nebulosity","2456478.5000",""
"2704","P. Clay Sherrod","","c2013 G8  PANSTARRS","07","05","2013","18.9","7""","4/9","round","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Tiny, nebulous in very dense star field; quite small but clearly cometary","2456478.5000",""
"2706","P. Clay Sherrod","","p2013 J2  McNaught","07","05","2013","16.3 m2","12""","7/9","220 d","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","New comet; fairly bright with strong nucleus in central coma and short tail in PA 220 deg","2456478.5000",""
"2708","P. Clay Sherrod","","98P Takamizawa","07","06","2013","16.6","10""","4/9","108 d","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Fuzzy and moderately large and conspicuous in star field; round with possible extension in PA 108 deg","2456479.5000",""
"2710","P. Clay Sherrod","","c2012 K1 PANSTARRS","07","07","2013","15.5","17""","6/9","131 d","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Comet remains virtually unchanged morphologically; tail in PA 131 deg is quite stubby with very dense coma","2456480.5000",""
"2711","P. Clay Sherrod","","c2013 L2  Catalina","07","07","2013","19.5","<5""","9/9","stellar","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Tiny, stellar","2456480.5000",""
"2712","P. Clay Sherrod","","c2013 F3  McNaught","07","07","2013","18.9","7""","3/9","round","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Clearly diffuse but very small with strong stellar core; round with faint circular nebulosity","2456480.5000",""
"2714","P. Clay Sherrod","","c2010 S1 (LINEAR)","07","07","2013","14.0 m2","32""","7/9","45 d","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Very faint and beautiful tail in PA 45 deg, 165"" length; in rich Milky Way starfield.  Strong stellar nucleus centered in very large and diffuse coma","2456480.5000",""
"2715","P. Clay Sherrod","","p2013 J2  McNaught","07","07","2013","16.3","11""","7/9","230 d","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Comet shows classic structure with tapering tail in PA 230 deg (86"" length)   and very dense and uniform coma","2456480.5000",""
"2716","P. Clay Sherrod","","c2012 S3  PANSTARRS","07","07","2013","15.9 m2","16""","6/9","5 deg","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Nuclear mag. is a bit fainter tonight; however there appears to be a very large and vague outer coma surrounding a primary dense inner coma; diffuse and difficult tail nearly due north","2456480.5000",""
"2717","P. Clay Sherrod","","98P Takamizawa","07","09","2013","16.3","12""","7/9","126 d","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Comet now quite bright and easy with faint tail and very dense/compact coma","2456482.5000",""
"2718","P. Clay Sherrod","","c2011 KP36  Spacewatch","07","09","2013","18.7","5""","8/9","stellar","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Very dense star field and close to similar mag. star; comet slightly nebulous compared with star field, nearly stellar","2456482.5000",""
"2719","P. Clay Sherrod","","125P  Spacewatch","07","09","2013","18.6","5""","3/9","242?","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","First observation;  very diffuse and perhaps very faint tail in PA 242 deg; very uniform with little or no nucleus","2456482.5000",""
"2722","P. Clay Sherrod","","98P Takamizawa","07","12","2013","16.0","13""","7/9","round","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Appears as moderate bright star surrounded by halo of nebulosity; virtually circular","2456485.5000",""
"2724","P. Clay Sherrod","","c2013 F3  McNaught","07","12","2013","18.8","6""","4/9","round","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Somewhat stellar but with a very thin outer coma, somewhat concentrated to south","2456485.5000",""
"2725","P. Clay Sherrod","","c2013 L2  Catalina","07","12","2013","19.6","<5""","8/9","stellar","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Could easily be mistaken for field star; stellar, no nebulosity noted","2456485.5000",""
"2726","P. Clay Sherrod","","c2010 S1 (LINEAR)","07","12","2013","13.5","11+32""","6/9","37 d","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Beautiful faint tail disappearing after 315"" in PA 37 deg; strong inner dense core/nucleus surrounded by ""halo"" coma 32"" across","2456485.5000",""
"2727","P. Clay Sherrod","","c2012 S3  PANSTARRS","07","12","2013","16.3 m2","16""","6/8","14 d","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Very faint tail in PA 14 deg, 72"" length; strong stellar nucleus, large with very slight outer coma","2456485.5000",""
"2728","P. Clay Sherrod","","p2013 J2  McNaught","07","12","2013","16.3","10""","7/9","227 d","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Very nice comet, with no outer nebulosity, strong central conds., and very nice tail in PA 227 deg, 25"" length","2456485.5000",""
"2729","P. Clay Sherrod","","c2012 F6  Lemmon","07","12","2013","10.8 m2","46+194""","5/9","207","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Outstanding comet with inner coma (46"") surrounded by halo outer coma (194""); tail in PA 207 for minimum 13' length","2456485.5000",""
"2730","P. Clay Sherrod","","c2012 K1 PANSTARRS","07","13","2013","15.2 m2","19""","6/9","117 d","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","A fine ""tadpole"" appearance with short, tapering tail;  tail is 34"" length in PA 117 deg; coma has some N-S elongation","2456486.5000",""
"2731","P. Clay Sherrod","","c2008 S3 (Boattini)","07","13","2013","18.1","6""","4/9","59?","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Somewhat disappointing based on recent posted mag. estimates; comet is at best 18th mag and very difficult, diffuse; suspected tail in PA 59 deg","2456486.5000",""
"2734","P. Clay Sherrod","","c2012 K1 PANSTARRS","07","18","2013","15.6 m2","15""","7/9","105-163","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","In moonlight, but comet is discernably smaller with more concentrated nucleus; short fan tail in PA 105 to 163 deg","2456491.5000",""
"2736","P. Clay Sherrod","","c2012 S3  PANSTARRS","07","18","2013","16.0","14""","7/9","8 d","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Very condensed nearly stellar coma/nucleus, very little outer nebulosity; nucleus irregular; short tail nearly due N of nucleus","2456491.5000",""
"2737","P. Clay Sherrod","","p2013 J2  McNaught","07","18","2013","16.3","14""","7/9","228 d","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Very nice comet with very condensed coma, outer coma nebulosity; tadpole tail in PA 228 deg, 32"" length","2456491.5000",""
"2740","P. Clay Sherrod","","c2012 K1 PANSTARRS","07","28","2013","15.5","15""","6/9","117 d","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Virtually unchanged; short tail in PA 117, stubby and compact with dense coma","2456501.5000",""
"2741","P. Clay Sherrod","","c2013 F3  McNaught","07","28","2013","18.9","<5""","8/9","n/a","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Stellar and difficult with haze and moonlight","2456501.5000",""
"2745","P. Clay Sherrod","","c2012 K1 PANSTARRS","08","02","2013","15.4","18""","5/9","121 d","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Comet is peculiar with very wide and non-tapering tail, stubby and short; dense coma","2456506.5000",""
"2746","P. Clay Sherrod","","c2013 L2  Catalina","08","02","2013","19.2","~4""","7/9","stellar","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Comet is very small and stellar, some outlying very vague nebulosity","2456506.5000",""
"2747","P. Clay Sherrod","","p2012 F2  PANSTARRS","08","02","2013","17.6","6""","7/9","n/a","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Very small with shell of nebulosity surrounding stellar nucleus","2456506.5000",""
"2750","P. Clay Sherrod","","c2012 K8 Lemmon","08","02","2013","18.9","<5""","9/9","stellar","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Tiny, starlike and exceptionally difficult in rich star field","2456506.5000",""
"2751","P. Clay Sherrod","","c2010 S1 (LINEAR)","08","02","2013","14.8 m2","18""","7/9","39 d","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Estimates only; comet measured in high cloud, very bright sky","2456506.5000",""
"2753","P. Clay Sherrod","","p2013 J2  McNaught","08","07","2013","15.5","17""","6/9","228 d","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Very linear and thin tail in PA 228 deg, 86"" length; comet has brightened significantly","2456511.5000",""
"2754","P. Clay Sherrod","","c2008 S3 (Boattini)","08","07","2013","18.8 m2","7""","4/9","n/a","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Poor conditions with high clouds; comet is vague but clearly nebulous","2456511.5000",""
"2755","P. Clay Sherrod","","154P Brewington","08","07","2013","17.2","8""","7/9","287 d","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","First observation in many years (2003, one decade). Very compact and linear (to west) coma with very slight W-facing tail","2456511.5000",""
"2757","P. Clay Sherrod","","c2013 F3  McNaught","08","15","2013","18.9","5""","5/9","137","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Slight tail suspected in PA 137 deg; comet very difficult, diffuse","2456519.5000",""
"2758","P. Clay Sherrod","","4P  Faye","08","15","2013","17.2","6""","4/9","n/a","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Very poor turbulent conditions; comet is diffuse and round in rich star field","2456519.5000",""
"2759","P. Clay Sherrod","","c2012 S3  PANSTARRS","08","15","2013","16.9","7""","4/9","35 d","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Short tail in PA 35 deg, 11"" length; poor conditions","2456519.5000",""
"2760","P. Clay Sherrod","","c2010 S1 (LINEAR)","08","15","2013","14.6 m2","24""","6/9","39 d","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Poor conditions; short faint tail in PA 39 deg, 117"" length; coma is large and transparent with embedded nucleus","2456519.5000",""
"2762","P. Clay Sherrod","","c2008 S3 (Boattini)","08","15","2013","18.7 m2","6""","4/9","63 ?","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Possible very short extension in PA 63 deg; quite diffuse but with central conds.","2456519.5000",""
"2763","P. Clay Sherrod","","p2013 J2  McNaught","08","15","2013","15.5","19""","7/9","223 d","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Comet is developing nicely, much brighter; very straight and narrow tail in PA 223 deg, 134"" length","2456519.5000",""
"2766","P. Clay Sherrod","","184P  Lovas","08","19","2013","18.5 m2","9""","4/9","n/a","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Very diffuse and could easily be missed; relatively large surface area and vague; round, very little  conds.","2456523.5000",""
"2767","P. Clay Sherrod","","c2013 E2  Iwanmoto","08","21","2013","16.5","8""","4/9","257","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","New comet.  Full moon within 15 deg of comet; with hazy skies.  Appears nebulous without strong central conds.; very slight tail suspected in PA 257 deg, 10"" length","2456525.5000",""
"2768","P. Clay Sherrod","","84P  Giclas","08","21","2013","17.8 m2","<6""","4/9","diffuse","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","New addition; conditions very poor with full moonlight, haze; comet is easy in spite of conditions, but very faint and diffuse","2456525.5000",""
"2770","P. Clay Sherrod","","p2013 J2  McNaught","08","24","2013","15.4","8""","5/9","200 deg","0.51m ASO astrographic DK, f/4.9 +ccd binned 2x2","Strong moonlight; hint of slight tail in 200 deg; diffuse but even coma, no strong nucleus","2456528.5000",""
